id;NumDots;SubdomainLevel;PathLevel;UrlLength;NumDash;NumDashInHostname;AtSymbol;TildeSymbol;NumUnderscore;NumPercent;NumQueryComponents;NumAmpersand;NumHash;NumNumericChars;NoHttps;RandomString;IpAddress;DomainInSubdomains;DomainInPaths;HttpsInHostname;HostnameLength;PathLength;QueryLength;DoubleSlashInPath;NumSensitiveWords;EmbeddedBrandName;PctExtHyperlinks;PctExtResourceUrls;ExtFavicon;InsecureForms;RelativeFormAction;ExtFormAction;AbnormalFormAction;PctNullSelfRedirectHyperlinks;FrequentDomainNameMismatch;FakeLinkInStatusBar;RightClickDisabled;PopUpWindow;SubmitInfoToEmail;IframeOrFrame;MissingTitle;ImagesOnlyInForm;SubdomainLevelRT;UrlLengthRT;PctExtResourceUrlsRT;AbnormalExtFormActionR;ExtMetaScriptLinkRT;PctExtNullSelfRedirectHyperlinksRT;CLASS_LABEL            1=Phising         0=Beningnas
1;3;1;5;72;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;21;44;0;0;0;0;0;0,25;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;-1;1;1
2;3;1;3;144;0;0;0;0;2;0;2;1;0;41;1;0;0;0;0;0;17;16;103;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;1;1;1;1;1
3;3;1;2;58;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;27;24;0;0;0;0;0,375;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;1;-1;0;1
4;3;1;6;79;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;22;50;0;0;0;1;1;0,095238095;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;-1;1;1;1;-1;1
5;3;0;4;46;0;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;10;29;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;-1;0;-1;-1;1
6;3;1;1;42;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;23;12;0;0;0;0;0,1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;-1;1;1
7;2;0;5;60;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;17;36;0;0;0;1;0,909090909;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;-1;-1;1
8;1;0;3;30;0;0;0;0;0;0;0;0;0;3;1;1;0;0;1;0;12;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
9;8;7;2;76;1;1;0;0;0;0;0;0;0;2;1;1;0;1;1;0;65;4;0;0;0;0;0;0;0;1;0;0;0;0,975;0;0;0;0;0;0;0;0;-1;-1;1;1;1;-1;1
10;2;0;2;46;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;14;25;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;-1;-1;1
11;5;4;2;64;1;1;0;0;0;0;0;0;0;3;1;1;0;1;1;0;53;4;0;0;0;0;0;0;0;1;0;0;0;0,975;0;0;0;0;0;0;0;0;-1;0;1;1;1;-1;1
12;2;0;2;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;22;18;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;-1;1;-1;-1;1
13;2;1;2;61;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;43;10;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;-1;1
14;2;1;3;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;16;12;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1
15;2;1;2;60;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;43;10;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;-1;1
16;3;0;4;73;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;33;33;0;0;1;0;1;0,076923077;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;-1;1
17;3;0;5;50;0;0;0;1;0;0;0;0;0;10;1;1;1;0;0;0;13;30;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
18;3;1;2;59;1;1;0;0;0;0;0;0;0;7;1;1;0;0;1;0;36;16;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;-1;1;-1;-1;1
19;2;0;3;28;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;9;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
20;1;0;4;59;0;0;0;0;0;0;0;0;0;22;1;1;0;0;1;0;12;40;0;0;0;0;0;0,125;0;1;1;0;0;0,923076923;0;0;0;0;0;0;0;0;1;0;1;1;1;-1;1
21;1;0;4;32;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;11;14;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;-1;1
22;5;1;2;52;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;25;20;0;0;0;0;0;0,153846154;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
23;2;1;6;62;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;18;37;0;0;0;0;0,833333333;0,235294118;1;1;0;0;0;0,083333333;0;0;0;0;0;1;0;0;1;0;1;1;0;-1;1
24;1;0;10;105;2;0;0;0;0;0;0;0;0;24;1;1;0;0;1;0;11;87;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;1;1;1;1;1
25;4;1;2;55;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;31;17;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;-1;1;-1;-1;1
